OID_,PATH,ROW,PR,h,v
0,13,25,013025,29,0
1,13,25,013025,30,0
2,13,26,013026,29,1
3,13,26,013026,30,1
4,13,26,013026,29,0
5,13,26,013026,30,0
6,13,27,013027,29,2
7,13,27,013027,29,1
8,13,27,013027,30,2
9,13,27,013027,30,1
10,13,28,013028,29,3
11,13,28,013028,29,2
12,13,28,013028,30,3
13,13,28,013028,30,2
14,13,29,013029,29,5
15,13,29,013029,29,4
16,13,29,013029,29,3
17,13,29,013029,30,5
18,13,29,013029,30,4
19,13,29,013029,30,3
20,13,30,013030,29,6
21,13,30,013030,30,6
22,13,30,013030,29,5
23,13,30,013030,29,4
24,13,30,013030,30,5
25,13,30,013030,30,4
26,13,31,013031,29,7
27,13,31,013031,29,6
28,13,31,013031,30,7
29,13,31,013031,30,6
30,13,32,013032,29,8
31,13,32,013032,29,7
32,13,32,013032,30,8
33,13,32,013032,30,7
34,13,33,013033,29,9
35,13,33,013033,29,8
36,13,33,013033,30,9
37,13,33,013033,30,8
38,13,34,013034,29,10
39,13,34,013034,30,10
40,13,34,013034,29,9
41,13,34,013034,30,9
42,13,35,013035,29,11
43,13,35,013035,29,10
44,13,35,013035,30,11
45,13,35,013035,30,10
46,13,36,013036,29,12
47,13,36,013036,30,12
48,13,36,013036,29,11
49,13,36,013036,30,11
50,13,37,013037,29,13
51,13,37,013037,30,13
52,13,37,013037,29,12
53,13,37,013037,30,12
54,13,38,013038,29,14
55,13,38,013038,30,14
56,13,38,013038,29,13
57,13,38,013038,30,13
58,13,39,013039,29,16
59,13,39,013039,29,15
60,13,39,013039,30,15
61,13,39,013039,29,14
62,13,39,013039,30,14
63,13,40,013040,29,17
64,13,40,013040,30,17
65,13,40,013040,29,16
66,13,40,013040,30,16
67,13,40,013040,29,15
68,13,40,013040,30,15
69,13,41,013041,28,17
70,13,41,013041,28,18
71,13,41,013041,29,18
72,13,41,013041,30,18
73,13,41,013041,29,17
74,13,41,013041,30,17
75,13,42,013042,28,18
76,13,42,013042,28,19
77,13,42,013042,29,19
78,13,42,013042,29,18
79,13,42,013042,30,19
80,13,42,013042,30,18
81,13,43,013043,28,19
82,13,43,013043,28,20
83,13,43,013043,29,20
84,13,43,013043,29,19
85,13,43,013043,30,20
86,13,43,013043,30,19
87,13,44,013044,28,20
88,13,44,013044,29,20
89,13,44,013044,30,20
90,13,44,013044,30,21
91,13,44,013044,29,21
92,13,44,013044,28,21
93,13,45,013045,30,21
94,13,45,013045,29,21
95,13,45,013045,28,21
96,29,23,029023,17,0
97,29,23,029023,18,0
98,29,23,029023,19,0
99,29,24,029024,17,0
100,29,24,029024,17,1
101,29,24,029024,18,0
102,29,24,029024,18,1
103,29,25,029025,17,1
104,29,25,029025,17,2
105,29,25,029025,18,1
106,29,25,029025,18,2
107,29,26,029026,16,2
108,29,26,029026,16,3
109,29,26,029026,17,2
110,29,26,029026,17,3
111,29,26,029026,18,2
112,29,26,029026,18,3
113,29,27,029027,16,3
114,29,27,029027,16,4
115,29,27,029027,17,3
116,29,27,029027,17,4
117,29,27,029027,18,3
118,29,28,029028,16,4
119,29,28,029028,16,5
120,29,28,029028,17,4
121,29,28,029028,17,5
122,29,29,029029,16,5
123,29,29,029029,16,6
124,29,29,029029,17,5
