system:index,CLOUD_COVER
LC09_010027_20211106,0.65
LC09_010028_20211106,0.01
LC09_011028_20220512,0.4
LC09_011029_20211111,0.08
LC09_011029_20220512,0.41
LC09_011031_20211111,0.39
LC09_011032_20211111,0.02
LC09_013027_20220510,0.69
LC09_013028_20220510,0.15
LC09_013029_20220510,0.05
LC09_013030_20211217,0.69
LC09_013030_20220510,0.01
LC09_013031_20220510,0.49
LC09_013033_20220219,0.39
LC09_013033_20220408,0.54
LC09_013035_20220408,0.36
LC09_013036_20220408,0.06
LC09_014029_20220501,0.11
LC09_014030_20220501,0.43
LC09_014031_20220415,0.76
LC09_014032_20211109,0.1
LC09_014032_20220415,0.05
LC09_014033_20211109,0.1
LC09_014033_20220210,0.17
LC09_014034_20211109,0.06
LC09_014034_20220210,0.11
LC09_014035_20211109,0.05
LC09_014035_20220210,0.06
LC09_014036_20211109,0.11
LC09_014036_20211114,0.09
LC09_014036_20220210,0.09
LC09_015028_20220508,0.41
LC09_015029_20220508,0.89
LC09_015030_20220508,0.02
LC09_015031_20220508,0.26
LC09_015032_20211124,0.49
LC09_015033_20211124,0.1
LC09_015034_20211124,0.03
LC09_015035_20211124,0.03
LC09_015035_20220321,0.04
LC09_015035_20220422,0.57
LC09_015036_20211124,0.04
LC09_015036_20220201,0.33
LC09_015036_20220321,0.04
LC09_015036_20220422,0.19
LC09_015037_20220201,0.33
LC09_015037_20220321,0.02
LC09_016029_20220429,0.0
LC09_016030_20220429,0.59
LC09_016032_20220429,0.06
LC09_016034_20211222,0.05
LC09_016034_20220328,0.44
LC09_016035_20211222,0.89
LC09_016035_20220328,0.02
LC09_016035_20220531,0.25
LC09_016036_20211206,0.85
LC09_016037_20220123,0.26
LC09_016038_20220107,0.04
LC09_016038_20220328,0.21
LC09_016039_20220328,0.04
LC09_016040_20220328,0.04
LC09_016041_20220328,0.17
LC09_016043_20220328,0.59
LC09_017030_20211107,0.81
LC09_017030_20211213,0.11
LC09_017031_20211107,0.01
LC09_017031_20211213,0.06
LC09_017031_20220623,0.82
LC09_017032_20211107,0.02
LC09_017032_20211112,0.96
LC09_017032_20211213,0.06
LC09_017033_20211107,0.22
LC09_017033_20211112,0.92
LC09_017033_20211213,0.16
LC09_017034_20211112,0.3
LC09_017034_20211213,0.02
LC09_017035_20211112,0.51
LC09_017035_20211213,0.06
LC09_017035_20220215,0.44
LC09_017035_20220420,0.42
LC09_017036_20211112,0.27
LC09_017036_20220114,0.34
LC09_017036_20220215,0.35
LC09_017036_20220303,0.05
LC09_017037_20211112,0.02
LC09_017037_20220114,0.12
LC09_017037_20220130,0.04
LC09_017037_20220215,0.94
LC09_017037_20220303,0.02
LC09_017038_20220114,0.45
LC09_017038_20220130,0.04
LC09_017038_20220303,0.08
LC09_017038_20220404,0.49
LC09_017039_20220114,0.53
LC09_017039_20220130,0.04
LC09_017039_20220404,0.09
LC09_017040_20220114,0.12
LC09_017040_20220130,0.02
LC09_017041_20211229,0.72
LC09_017041_20220130,0.36
LC09_017041_20220420,0.52
LC09_018029_20220513,0.02
LC09_018030_20220513,0.53
LC09_018032_20211220,0.1
LC09_018032_20220206,0.46
LC09_018033_20211220,0.07
LC09_018035_20220427,0.01
LC09_018036_20220206,0.04
LC09_018036_20220326,0.06
LC09_018036_20220427,0.02
LC09_018037_20220326,0.03
LC09_018037_20220427,0.02
LC09_018038_20211117,0.03
LC09_018038_20220222,0.04
LC09_018038_20220326,0.01
LC09_018038_20220427,0.45
LC09_018039_20211117,0.68
LC09_018039_20220222,0.04
LC09_018039_20220326,0.02
LC09_018039_20220427,0.54
LC09_018040_20220222,0.01
LC09_018040_20220326,0.0
LC09_019030_20220621,0.19
LC09_019032_20220621,0.0
LC09_019033_20220621,0.01
LC09_019034_20220301,0.03
LC09_019034_20220621,0.27
LC09_019035_20220301,0.03
LC09_019035_20220621,0.25
LC09_019036_20220301,0.03
LC09_019036_20220621,0.53
LC09_019037_20220112,0.68
LC09_020031_20220220,0.49
LC09_020031_20220628,0.38
LC09_020032_20211105,0.06
LC09_020032_20220220,0.11
LC09_020033_20211105,0.04
LC09_020033_20220220,0.08
LC09_020034_20220220,0.07
LC09_020035_20211110,0.05
LC09_020035_20220220,0.02
LC09_020036_20211110,0.04
LC09_020037_20211110,0.06
LC09_020037_20220220,0.18
LC09_020038_20211110,0.01
LC09_020038_20220220,0.01
LC09_020038_20220511,0.01
LC09_020039_20220220,0.11
LC09_020039_20220409,0.04
LC09_020039_20220511,0.84
LC09_021031_20220603,0.08
LC09_021032_20220227,0.06
LC09_021032_20220603,0.14
LC09_021033_20220126,0.09
LC09_021033_20220227,0.04
LC09_021033_20220603,0.07
LC09_021033_20220619,0.05
LC09_021034_20220110,0.06
LC09_021034_20220126,0.03
LC09_021034_20220619,0.02
LC09_021035_20220110,0.05
LC09_021035_20220126,0.13
LC09_021035_20220619,0.07
LC09_021036_20220110,0.03
LC09_021036_20220126,0.22
LC09_021036_20220211,0.06
LC09_021036_20220619,0.09
LC09_021037_20211115,0.36
LC09_021037_20220126,0.64
LC09_021037_20220211,0.03
LC09_021037_20220619,0.02
LC09_021038_20211115,0.0
LC09_021038_20220126,0.03
LC09_021038_20220619,0.01
LC09_021039_20211115,0.03
LC09_022030_20220509,0.36
LC09_022034_20220218,0.02
