system:index,CLOUD_COVER
LC09_009029_20211205,16.14
LC09_009029_20220122,55.4
LC09_009029_20220207,99.72
LC09_009029_20220327,54.66
LC09_009029_20220514,24.08
LC09_010027_20211106,0.65
LC09_010028_20211101,42.2
LC09_010028_20211106,0.01
LC09_010028_20211212,31.19
LC09_010028_20220403,39.04
LC09_010028_20220505,8.93
LC09_010028_20220622,23.44
LC09_010029_20211101,56.65
LC09_010029_20211106,1.57
LC09_010029_20211212,55.68
LC09_010029_20220622,12.25
LC09_010030_20211101,12.15
LC09_010030_20211106,9.05
LC09_010030_20211212,83.0
LC09_010031_20211106,5.21
LC09_010032_20211106,48.5
LC09_011027_20211111,28.84
LC09_011027_20211219,80.21
LC09_011027_20220104,29.17
LC09_011027_20220120,18.05
LC09_011027_20220205,100.0
LC09_011027_20220221,53.8
LC09_011027_20220309,8.97
LC09_011027_20220512,3.59
LC09_011027_20220528,95.9
LC09_011027_20220629,11.27
LC09_011028_20211111,3.51
LC09_011028_20220104,54.93
LC09_011028_20220120,60.42
LC09_011028_20220205,33.17
LC09_011028_20220221,86.97
LC09_011028_20220309,71.44
LC09_011028_20220512,0.4
LC09_011028_20220528,96.54
LC09_011028_20220629,15.32
LC09_011029_20211111,0.08
LC09_011029_20211116,73.75
LC09_011029_20220104,17.45
LC09_011029_20220205,28.43
LC09_011029_20220221,54.39
LC09_011029_20220309,100.0
LC09_011029_20220410,83.64
LC09_011029_20220512,0.41
LC09_011029_20220528,99.97
LC09_011029_20220629,25.2
LC09_011030_20211111,2.22
LC09_011030_20211116,20.24
LC09_011030_20220104,17.04
LC09_011030_20220205,73.31
LC09_011030_20220221,3.06
LC09_011030_20220309,100.0
LC09_011030_20220325,92.73
LC09_011030_20220410,39.76
LC09_011030_20220512,48.75
LC09_011030_20220528,100.0
LC09_011030_20220613,91.06
LC09_011030_20220629,52.11
LC09_011031_20211111,0.39
LC09_011031_20211116,1.98
LC09_011031_20220104,35.72
LC09_011031_20220205,88.79
LC09_011031_20220221,4.03
LC09_011031_20220325,99.95
LC09_011031_20220410,10.79
LC09_011031_20220426,67.7
LC09_011031_20220512,96.11
LC09_011031_20220613,72.94
LC09_011031_20220629,46.36
LC09_011032_20211111,0.02
LC09_011032_20211116,13.97
LC09_011032_20220104,9.05
LC09_011032_20220221,1.15
LC09_011032_20220410,2.69
LC09_011032_20220512,99.96
LC09_011032_20220613,45.9
LC09_011032_20220629,67.62
LC09_012027_20211226,51.58
LC09_012027_20220111,8.47
LC09_012027_20220127,67.26
LC09_012027_20220228,12.89
LC09_012027_20220503,28.67
LC09_012027_20220519,59.17
LC09_012027_20220604,86.37
LC09_012027_20220620,29.32
LC09_012028_20211226,52.25
LC09_012028_20220111,5.89
LC09_012028_20220127,36.34
LC09_012028_20220228,6.71
LC09_012028_20220503,54.25
LC09_012028_20220519,52.84
LC09_012028_20220604,67.09
LC09_012028_20220620,13.15
LC09_012029_20220111,14.4
LC09_012029_20220127,43.38
LC09_012029_20220228,8.13
LC09_012029_20220417,73.77
LC09_012029_20220503,92.04
LC09_012029_20220519,84.01
LC09_012029_20220604,73.09
LC09_012029_20220620,3.65
LC09_012030_20220111,14.39
LC09_012030_20220127,67.78
LC09_012030_20220212,74.85
LC09_012030_20220228,5.9
LC09_012030_20220401,88.5
LC09_012030_20220417,67.42
LC09_012030_20220604,59.44
LC09_012030_20220620,4.22
LC09_012031_20211226,66.08
LC09_012031_20220111,19.82
LC09_012031_20220127,15.62
LC09_012031_20220212,36.25
LC09_012031_20220228,10.99
LC09_012031_20220401,79.64
LC09_012031_20220417,59.01
LC09_012031_20220604,53.06
LC09_012031_20220620,7.7
LC09_012032_20211226,34.92
LC09_012032_20220111,62.95
LC09_012032_20220127,25.46
LC09_012032_20220212,19.47
LC09_012032_20220228,4.72
LC09_012032_20220417,10.87
LC09_012032_20220604,74.67
LC09_012032_20220620,5.16
LC09_013027_20220118,27.55
LC09_013027_20220219,99.92
LC09_013027_20220323,1.48
LC09_013027_20220424,24.56
LC09_013027_20220510,0.69
LC09_013027_20220611,34.04
LC09_013027_20220627,84.32
LC09_013028_20211104,53.71
LC09_013028_20220118,60.19
LC09_013028_20220323,16.99
LC09_013028_20220424,48.55
LC09_013028_20220510,0.15
LC09_013028_20220611,27.54
LC09_013028_20220627,90.66
LC09_013029_20211104,40.31
LC09_013029_20211217,55.1
LC09_013029_20220118,86.78
LC09_013029_20220323,11.71
LC09_013029_20220424,76.02
LC09_013029_20220510,0.05
LC09_013029_20220526,89.21
LC09_013029_20220611,33.53
LC09_013029_20220627,91.18
LC09_013030_20211104,27.62
LC09_013030_20211217,0.69
LC09_013030_20220118,43.57
LC09_013030_20220219,100.0
LC09_013030_20220323,44.09
LC09_013030_20220424,91.39
