"GEE_WRS_tile","Atmos_ARD_tile","DATE","h","v","PATH","ROW"
"LE07_047031_20220305",NA,20220305,"002","005",47,31
"LE07_046032_20220330",NA,20220330,"002","007",46,32
"LE07_045032_20210216",NA,20210216,"003","007",45,32
"LE07_045032_20210304",NA,20210304,"003","007",45,32
"LE07_045032_20210320",NA,20210320,"003","007",45,32
"LE07_045032_20210405",NA,20210405,"003","007",45,32
"LE07_045032_20211014",NA,20211014,"003","007",45,32
"LE07_045032_20211030",NA,20211030,"003","007",45,32
"LE07_045032_20211217",NA,20211217,"003","007",45,32
"LE07_045032_20220118",NA,20220118,"003","007",45,32
"LE07_045032_20220203",NA,20220203,"003","007",45,32
"LE07_045032_20220219",NA,20220219,"003","007",45,32
"LE07_045032_20220307",NA,20220307,"003","007",45,32
"LE07_045032_20220323",NA,20220323,"003","007",45,32
"LE07_043030_20201130",NA,20201130,"004","004",43,30
"LE07_041032_20210103",NA,20210103,"004","007",41,32
"LE07_046027_20210327",NA,20210327,"005","001",46,27
"LE07_046027_20210919",NA,20210919,"005","001",46,27
"LE07_046027_20211005",NA,20211005,"005","001",46,27
"LE07_046027_20211106",NA,20211106,"005","001",46,27
"LE07_046027_20220210",NA,20220210,"005","001",46,27
"LE07_046027_20220314",NA,20220314,"005","001",46,27
"LE07_046026_20200628",NA,20200628,"005","002",46,26
"LE07_046027_20200628",NA,20200628,"005","002",46,27
"LE07_046027_20200714",NA,20200714,"005","002",46,27
"LE07_046026_20200714",NA,20200714,"005","002",46,26
"LE07_046026_20200730",NA,20200730,"005","002",46,26
"LE07_046027_20200730",NA,20200730,"005","002",46,27
"LE07_046026_20201002",NA,20201002,"005","002",46,26
"LE07_046027_20201002",NA,20201002,"005","002",46,27
"LE07_046027_20201018",NA,20201018,"005","002",46,27
"LE07_046026_20201119",NA,20201119,"005","002",46,26
"LE07_046027_20201119",NA,20201119,"005","002",46,27
"LE07_046026_20201205",NA,20201205,"005","002",46,26
"LE07_046027_20201205",NA,20201205,"005","002",46,27
"LE07_046027_20210106",NA,20210106,"005","002",46,27
"LE07_046027_20210122",NA,20210122,"005","002",46,27
"LE07_046026_20210122",NA,20210122,"005","002",46,26
"LE07_046027_20210207",NA,20210207,"005","002",46,27
"LE07_046026_20210207",NA,20210207,"005","002",46,26
"LE07_046027_20210223",NA,20210223,"005","002",46,27
"LE07_046026_20210223",NA,20210223,"005","002",46,26
"LE07_046026_20210311",NA,20210311,"005","002",46,26
"LE07_046027_20210311",NA,20210311,"005","002",46,27
"LE07_046027_20210327",NA,20210327,"005","002",46,27
"LE07_046026_20210412",NA,20210412,"005","002",46,26
"LE07_046027_20210412",NA,20210412,"005","002",46,27
"LE07_046027_20210428",NA,20210428,"005","002",46,27
"LE07_046026_20210514",NA,20210514,"005","002",46,26
"LE07_046027_20210514",NA,20210514,"005","002",46,27
"LE07_046026_20210530",NA,20210530,"005","002",46,26
"LE07_046027_20210530",NA,20210530,"005","002",46,27
"LE07_046026_20210615",NA,20210615,"005","002",46,26
"LE07_046027_20210615",NA,20210615,"005","002",46,27
"LE07_046026_20210701",NA,20210701,"005","002",46,26
"LE07_046027_20210701",NA,20210701,"005","002",46,27
"LE07_046026_20210717",NA,20210717,"005","002",46,26
"LE07_046027_20210717",NA,20210717,"005","002",46,27
"LE07_046026_20210802",NA,20210802,"005","002",46,26
"LE07_046027_20210802",NA,20210802,"005","002",46,27
"LE07_046026_20210818",NA,20210818,"005","002",46,26
"LE07_046027_20210818",NA,20210818,"005","002",46,27
"LE07_046027_20210903",NA,20210903,"005","002",46,27
"LE07_046026_20210903",NA,20210903,"005","002",46,26
"LE07_046027_20210919",NA,20210919,"005","002",46,27
"LE07_046027_20211005",NA,20211005,"005","002",46,27
"LE07_046026_20211021",NA,20211021,"005","002",46,26
"LE07_046027_20211021",NA,20211021,"005","002",46,27
"LE07_046027_20211106",NA,20211106,"005","002",46,27
"LE07_046026_20211122",NA,20211122,"005","002",46,26
"LE07_046027_20211122",NA,20211122,"005","002",46,27
"LE07_046027_20220210",NA,20220210,"005","002",46,27
"LE07_046026_20220226",NA,20220226,"005","002",46,26
"LE07_046027_20220226",NA,20220226,"005","002",46,27
"LE07_046027_20220314",NA,20220314,"005","002",46,27
"LE07_046026_20220330",NA,20220330,"005","002",46,26
"LE07_046027_20220330",NA,20220330,"005","002",46,27
"LE07_043029_20201013",NA,20201013,"005","003",43,29
"LE07_043029_20201013",NA,20201013,"005","004",43,29
"LE07_043030_20201130",NA,20201130,"005","005",43,30
"LE07_042030_20210110",NA,20210110,"005","005",42,30
"LE07_042029_20210110",NA,20210110,"005","005",42,29
"LE07_044029_20220401",NA,20220401,"005","005",44,29
"LE07_041032_20210103",NA,20210103,"005","007",41,32
"LE07_044028_20201207",NA,20201207,"006","003",44,28
"LE07_044028_20210124",NA,20210124,"006","003",44,28
"LE07_044028_20210209",NA,20210209,"006","003",44,28
"LE07_041028_20210425",NA,20210425,"006","003",41,28
"LE07_044028_20211210",NA,20211210,"006","003",44,28
"LE07_043029_20201013",NA,20201013,"006","004",43,29
"LE07_041028_20210425",NA,20210425,"006","004",41,28
"LE07_041029_20210425",NA,20210425,"006","004",41,29
"LE07_042029_20210110",NA,20210110,"006","005",42,29
"LE07_042030_20210110",NA,20210110,"006","005",42,30
"LE07_041029_20210425",NA,20210425,"006","005",41,29
"LE07_041032_20210103",NA,20210103,"006","007",41,32
"LE07_041032_20210103",NA,20210103,"006","008",41,32
"LE07_038038_20210114",NA,20210114,"006","015",38,38
"LE07_038038_20210130",NA,20210130,"006","015",38,38
"LE07_038038_20210215",NA,20210215,"006","015",38,38
"LE07_038038_20210303",NA,20210303,"006","015",38,38
"LE07_038038_20210319",NA,20210319,"006","015",38,38
"LE07_038038_20210404",NA,20210404,"006","015",38,38
"LE07_038038_20210420",NA,20210420,"006","015",38,38
"LE07_038038_20211013",NA,20211013,"006","015",38,38
"LE07_038038_20211029",NA,20211029,"006","015",38,38
"LE07_038038_20211114",NA,20211114,"006","015",38,38
"LE07_038038_20211130",NA,20211130,"006","015",38,38
"LE07_038038_20211216",NA,20211216,"006","015",38,38
"LE07_038038_20220117",NA,20220117,"006","015",38,38
"LE07_038038_20220202",NA,20220202,"006","015",38,38
"LE07_038038_20220218",NA,20220218,"006","015",38,38
